symbol,current_price,target-price,difference
BCBP,8.09,9.5,1.4100000000000001
BCC,47.65,34,-13.649999999999999
BCD,23.095,0,-23.095
BCDA,2.56,22,19.44
BCDAW,0.9796,0,-0.9796
BCE,43.58,48.01,4.43
BCEI,19.81,22,2.1900000000000013
BCEL,14.49,29.5,15.01
BCH,17.45,19.75,2.3000000000000007
BCI,20.11,0,-20.11
BCLI,12.87,17.5,4.630000000000001
BCM,27.3,0,-27.3
BCML,11.19,16.75,5.5600000000000005
BCO,44.21,80,35.79
BCOM,2.21,21.39,19.18
BCOR,11.77,21.5,9.73
BCOV,11.24,12,0.7599999999999998
BCOW,8.68,0,-8.68
BCPC,99.4,104,4.599999999999994
BCRX,4.165,9,4.835
BCS,5.61,6,0.3899999999999997
BCSF,10.39,11.88,1.4900000000000002
BCTF,0,0,0
BCV,26.74,0,-26.74
BCX,6.46,0,-6.46
BCYC,18.28,23.5,5.219999999999999
BDC,33.75,37,3.25
BDCS,14.02,0,-14.02
BDCX,24.527,0,-24.527
BDCY,7.304,0,-7.304
BDCZ,13.97,0,-13.97
BDEC,28.128,0,-28.128
BDGE,20.01,24.5,4.489999999999998
BDJ,7.5,0,-7.5
BDL,16.39,0,-16.39
BDN,10.85,11.5,0.6500000000000004
BDR,0.99,0,-0.99
BDRY,8.11,0,-8.11
BDSI,4.72,8,3.2800000000000002
BDTX,30.07,51,20.93
BDX,257.72,266,8.279999999999973
BDXB,55.6,0,-55.6
BE,17.06,12,-5.059999999999999
BEAM,26.03,32,5.969999999999999
BEAT,40.25,58,17.75
BECN,31.8,30,-1.8000000000000007
BEDU,7.78,7.58,-0.20000000000000018
BEKE,41.87,0,-41.87
BELFA,11.65,20,8.35
BELFB,11.91,18.5,6.59
BEN,20.99,21,0.010000000000001563
BEP,46.14,35.5,-10.64
BEPC,51.1,0,-51.1
